company,srn,address,city,zip_code,pti_no.,approved,notes
DTE ENERGY GAS - MICHCON,N7421,3020 E MICHIGAN AVENUE,YPSILANTI,48198,44-16B,11/15/2019,
DTE GAS COMPANY,N7421,3020 E MICHIGAN AVENUE,YPSILANTI,48198,246-07A,6/24/2019,
"SPEEDWAY SUPERAMERICA, LLC",N7866,2190 W MICHIGAN AVENUE - SSA #2368,YPSILANTI,48197,310-07,9/27/2007,General PTI
CARDINAL AGGREGATES,P0167,3660 CARPENTER ROAD - FINTEC PLANT,YPSILANTI,48197,200-10,10/19/2010,General PTI
MICHIGAN DEPT OF CORRECTIONS,P0637,3201 BEMIS ROAD - HURON VALLEY,YPSILANTI,48197,154-15,10/23/2015,
"CARDINAL AGGREGATES, INC",P0703,3660 CARPENTER ROAD - 2015 LIPPMANN,YPSILANTI,48197,56-16,4/6/2016,General PTI
"CARDINAL AGGREGATES, INC",P1128,3660 CARPENTER ROAD,YPSILANTI,48197,69-20,6/16/2020,General PTI
MARSH PLATING,B2629,2800 TYLER ROAD - WILLOW RUN,YPSILANTI TOWNSHIP,48198,40-16,6/9/2016,
FORD MOTOR COMPANY,B2956,17000 OAKWOOD BLVD - NEW MODEL,ALLEN PARK,48101,181-12,1/14/2013,
GREAT LAKES WATER AUTHORITY,K5497,14700 MORAN ROAD - SOUTHWEST PLANT,ALLEN PARK,48101,254-99B,12/1/2008,
FORD MOTOR COMPANY,M4793,17000 SOUTHFIELD ROAD - ENGINE,ALLEN PARK,48101,321-98B,12/2/2020,
DTE ENERGY SERVICES,M4848,17005 OAKWOOD BLVD,ALLEN PARK,48101,182-00A,12/15/2000,Revised
"POSEN CONSTRUCTION, INC",P0030,"SEC 2, T35, R10E - NW QUADRANT OF I-94",ALLEN PARK,48101,257-09,11/6/2009,General PTI
MICROTECT DCT,B3101,12611 HAGGERTY ROAD,BELLEVILLE,48111,277-02,2/24/2003,
"CADILLAC ASPHALT, LLC",B4280,1785 RAWSONVILLE ROAD,BELLEVILLE,48111,216-06,11/28/2006,
HURON VALLEY STEEL CORPORATION,B6178,41000 HURON RIVER DRIVE,BELLEVILLE,48111,22-00,4/5/2000,
HURON VALLEY STEEL CORPORATION,B6178,41000 HURON RIVER DRIVE,BELLEVILLE,48111,188-11,1/23/2012,
HURON VALLEY STEEL CORPORATION,B6178,41000 HURON RIVER DRIVE,BELLEVILLE,48111,135-14B,11/13/2017,
"CONTRACT WELDING & FABRICATING, INC",B8994,385 SUMPTER ROAD,BELLEVILLE,48111,100-11,6/30/2011,General PTI
"BELL INDUCTION HEATING, INC",M3749,41241 EDISON LAKE ROAD,BELLEVILLE,48111,13-11,2/28/2011,
E Q ENVIRONMENTAL QUALITY COMPANY,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,107-03,6/3/2003,Rolled into ROP
E Q ENVIRONMENTAL QUALITY COMPANY,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,7-98B,8/11/2003,Rolled into ROP
E Q ENVIRONMENTAL QUALITY COMPANY,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,355-01,1/13/2004,
E Q ENVIRONMENTAL QUALITY COMPANY,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,31-09D,9/30/2011,
MICHIGAN DISPOSAL WASTE TREATMENT,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,31-09,3/12/2009,Rolled into ROP
MICHIGAN DISPOSAL WASTE TREATMENT,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,26-10,2/9/2010,Rolled into ROP
MICHIGAN DISPOSAL WASTE TREATMENT,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,80-10,4/9/2010,Rolled into ROP
MICHIGAN DISPOSAL WASTE TREATMENT,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,31-09A,5/17/2010,Rolled into ROP
MICHIGAN DISPOSAL WASTE TREATMENT,M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,108-12,7/23/2012,
"MICHIGAN DISPOSAL, INC",M4782,49350 N I-94 SERVICE DRIVE,BELLEVILLE,48111,107-14,7/31/2014,
FIRSTENERGY GENERATION,M4854,8509 RAWSONVILLE ROAD,BELLEVILLE,48111,247-00C,6/7/2006,Rolled into ROP
SUMPTER GENERATING PLANT,M4854,8509 RAWSONVILLE ROAD,BELLEVILLE,48111,159-16A,10/31/2017,Rolled into ROP
SUMPTER POWER PLANT,M4854,8509 RAWSONVILLE ROAD,BELLEVILLE,48111,65-13,7/3/2013,Rolled into ROP
SUMPTER POWER PLANT,M4854,8509 RAWSONVILLE ROAD,BELLEVILLE,48111,159-16,1/23/2017,Rolled into ROP
J P MORGAN CHASE COMPANY,P0608,9000 HAGGERTY ROAD,BELLEVILLE,48111,20-19,4/3/2019,
"FUEL CELL SYSTEM MANUFACTURING, LLC",P0250,20001 BROWNSTOWN CENTER DRIVE,BROWNSTOWN,48183,66-18A,7/27/2020,
"J & A CREMATION, INC",P0731,23700 WEST ROAD,BROWNSTOWN,48183,134-16,9/2/2016,
SOUTH HURON VALLEY UTIL AUTH,M4853,34001 W JEFFERSON AVENUE,BROWNSTOWN,48173,395-00,5/8/2001,
SOUTH HURON VALLEY UTIL AUTH,M4853,34001 W JEFFERSON AVENUE,BROWNSTOWN,48173,148-03,9/9/2003,
"DURCON LABORATORY TOPS, INC",N0516,8464 RONDA DRIVE,CANTON,48187,41-06A,8/28/2008,
METALTEC STEEL ABRASIVE COMPANY,N1022,41055 JOY ROAD,CANTON,48187,258-07,10/31/2007,
"CSM CREMATION SERVICES, INC",N6208,8219 RONDA DRIVE,CANTON,48187,15-97A,8/28/1997,
"INTERNATIONAL DOOR, INC",N7109,8001 RONDA DRIVE,CANTON,48187,44-02,5/14/2002,
ADVANCE ENGINEERING COMPANY,P0687,7505 BARON DRIVE,CANTON,48187,64-16,5/16/2016,
"BODYCOTE THERMAL PROCESSING, INC",P1106,8580 HAGGERTY ROAD,CANTON,48187,6-20,3/20/2020,
"LINDE GAS, LLC",M4691,5001 DEWITT ROAD,CANTON TOWNSHIP,48188,52-06,5/22/2006,
GREAT LAKES WATER AUTHORITY,M4840,43127 JOY ROAD - JOY ROAD PUMP,CANTON TOWNSHIP,48187,255-99B,12/1/2008,
SAUK TRAIL HILLS DEVELOPMENT,N6009,5011 S LILLEY ROAD - ADRIAN LANDFILL,CANTON TOWNSHIP,48188,122-11,11/9/2011,Rolled into ROP
"CANTON RENEWABLES, LLC",P0270,4345 S LILLEY ROAD,CANTON TOWNSHIP,48188,98-11A,2/16/2012,Rolled into ROP
"CANTON RENEWABLES, LLC",P0270,4345 S LILLEY ROAD,CANTON TOWNSHIP,48188,98-11D,12/15/2020,
AMERESCO WOODLAND MEADOWS,P0317,4620 HANNAN ROAD,CANTON TOWNSHIP,48188,61-16,8/29/2016,
A K STEEL CORPORATION,A8640,3001 MILLER ROAD,DEARBORN,48120,8-08,2/4/2008,Rolled into ROP
A K STEEL CORPORATION,A8640,4001 MILLER ROAD - DEARBORN WORKS,DEARBORN,48120,70-13,9/16/2013,Rolled into ROP
A K STEEL CORPORATION,A8640,4001 MILLER ROAD,DEARBORN,48120,182-05C,5/12/2014,
A K STEEL CORPORATION,A8640,4001 MILLER ROAD,DEARBORN,48120,20-14,9/10/2014,Rolled into ROP
CLEVELAND-CLIIFFS STEEL,A8640,4001 MILLER ROAD,DEARBORN,48120,84-11,8/15/2011,
CLEVELAND-CLIIFFS STEEL,A8640,4001 MILLER ROAD,DEARBORN,48120,8-08A,8/15/2011,
CLEVELAND-CLIIFFS STEEL,A8640,4001 MILLER ROAD - DEARBORN WORKS,DEARBORN,48120,120-16,8/18/2016,
"DEARBORN GREAT LAKES, LLC",A8640,4001 MILLER ROAD,DEARBORN,48120,114-16,12/15/2016,
ROUGE STEEL COMPANY,A8640,3001 MILLER ROAD,DEARBORN,48120,142-97,4/8/1997,Rolled into ROP
ROUGE STEEL COMPANY,A8640,3001 MILLER ROAD,DEARBORN,48120,343-97,10/31/1997,Rolled into ROP
ROUGE STEEL COMPANY,A8640,3001 MILLER ROAD,DEARBORN,48120,463-97,5/15/2000,Rolled into ROP
ROUGE STEEL COMPANY,A8640,3001 MILLER ROAD,DEARBORN,48120,193-00,9/5/2000,Rolled into ROP
"SEVERSTAL NORTH AMERICA, INC",A8640,3001 MILLER ROAD,DEARBORN,48120,182-05B,4/19/2007,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,200-97,5/9/1997,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,112-00,6/15/2000,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,109-00,7/5/2000,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,454-96C,12/18/2001,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,144-04,11/1/2004,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,342-06A,6/3/2008,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,188-12,2/12/2013,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,126-14,9/24/2014,
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - ROUGE COMPLEX,DEARBORN,48121,1-16,3/23/2016,Rolled into ROP
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - DEARBORN,DEARBORN,48121,94-16,8/18/2016,
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - ROUGE COMPLEX,DEARBORN,48121,154-19,2/20/2020,
FORD MOTOR COMPANY,A8648,3001 MILLER ROAD - ROUGE COMPLEX,DEARBORN,48121,101-19A,3/5/2020,
WATERFRONT PETROLEUM TERMINAL,B5434,1071 MILLER ROAD,DEARBORN,48120,181-10A,11/15/2012,
FORD MOTOR COMPANY,B6230,21500 OAKWOOD BLVD - RESEARCH &,DEARBORN,48124,392-94A,3/27/1997,Rolled into ROP
FORD MOTOR COMPANY,B6230,20000 ROTUNDA DRIVE - RESEARCH &,DEARBORN,48124,185-98,5/20/1998,Rolled into ROP
FORD MOTOR COMPANY,B6230,1701 VILLAGE ROAD - RESEARCH &,DEARBORN,48124,122-04,7/19/2004,Rolled into ROP
FORD MOTOR COMPANY,B6230,18901 OAKWOOD BLVD - RESEARCH &,DEARBORN,48124,174-09,8/25/2009,Rolled into ROP
FORD MOTOR COMPANY,B6230,1701 VILLAGE ROAD - RESEARCH &,DEARBORN,48124,194-15A,4/6/2017,
FORD MOTOR COMPANY,B6230,1701 VILLAGE ROAD - RESEARCH &,DEARBORN,48124,174-09A,4/24/2019,
COMPREHENSIVE ENV SOLUTIONS,B9080,6011 WYOMING AVENUE,DEARBORN,48126,305-04A,7/15/2005,
"ENVIRO SOLIDS, LLC",B9080,6011 WYOMING AVENUE,DEARBORN,48126,7-03,6/10/2003,
BEAUMONT HOSPITAL,J4912,18101 OAKWOOD BLVD,DEARBORN,48124,57-13A,12/19/2017,
UNIVERSITY OF MICHIGAN,K5375,4901 EVERGREEN ROAD,DEARBORN,48128,22-04,7/19/2004,
UNIVERSITY OF MICHIGAN,K5375,4901 EVERGREEN ROAD,DEARBORN,48128,2-19,7/3/2019,Revised
DTE ENERGY SERVICES,M4175,17600 MICHIGAN AVENUE,DEARBORN,48121,183-00A,12/15/2000,Revised
FORD MOTOR COMPANY,M4175,1 AMERICAN ROAD,DEARBORN,48126,292-98A,5/15/2012,
FORD MOTOR COMPANY,M4175,1 AMERICAN ROAD,DEARBORN,48126,10-17,4/5/2017,
"BIG 3 PRECISION PRODUCTS, INC",M4260,10800 FORD ROAD,DEARBORN,48126,187-14,11/18/2014,General PTI
FORD MOTOR COMPANY,M4764,1200 ELM STREET,DEARBORN,48121,195-96A,8/18/1997,Rolled into ROP
FORD MOTOR COMPANY,M4764,1200 ELM STREET,DEARBORN,48121,195-96B,4/7/2010,Rolled into ROP
"PRO V ENTERPRISES, LLC",M4798,4401 WYOMING AVENUE,DEARBORN,48126,164-15,10/5/2015,
GREAT LAKES WATER AUTHORITY,M4838,8300 W WARREN AVENUE - SPRINGWELLS,DEARBORN,48126,256-99B,12/1/2008,
FORD MOTOR COMPANY,M4847,3001 MILLER ROAD,DEARBORN,48126,259-00,1/30/2001,
"KENWAL PICKLING, LLC",M4847,8223 W WARREN AVENUE,DEARBORN,48126,196-00C,6/27/2007,
DEARBORN INDUSTRIAL GENERATION,N6631,2400 MILLER ROAD,DEARBORN,48121,217-03,9/25/2003,Rolled into ROP
DEARBORN INDUSTRIAL GENERATION,N6631,2400 MILLER ROAD,DEARBORN,48121,253-02A,9/25/2003,Rolled into ROP
DEARBORN INDUSTRIAL GENERATION,N6631,2400 MILLER ROAD,DEARBORN,48121,8-17,4/5/2017,
"DEARBORN INDUSTRIAL GENERATION,",N6631,2400 MILLER ROAD,DEARBORN,48121,72-15,8/12/2015,
"DEARBORN INDUSTRIAL GENERATION,",N6631,2400 MILLER ROAD,DEARBORN,48121,163-17,1/31/2018,
DTE ENERGY SERVICES,N6663,1 AUTO CLUB DRIVE,DEARBORN,48126,341-99,10/27/1999,
"WEBER SAND & GRAVEL, INC",N7288,8950 DIX STREET - PLANT 2,DEARBORN,48120,216-03,9/29/2003,General PTI
MOTOROLA,N7340,15201 MERCANTILE DRIVE,DEARBORN,48120,89-04,4/30/2004,
GREAT LAKES WATER AUTHORITY,N7584,9543 DIX AVENUE,DEARBORN,48210,69-06,6/1/2006,
DTE ENERGY SERVICES,N7844,21500 OAKWOOD BLVD,DEARBORN,48121,181-00A,12/15/2000,Revised
MICHIGAN BELL TELEPHONE COMPANY,N8024,23460 MICHIGAN AVENUE,DEARBORN,48124,96-08,7/3/2008,
MICHIGAN BELL TELEPHONE COMPANY,N8024,23460 MICHIGAN AVENUE,DEARBORN,48124,18-09,1/26/2009,General PTI
AT&T MICHIGAN,N8026,17651 MICHIGAN AVENUE,DEARBORN,48126,145-11,10/10/2011,
"SPEEDWAY SUPERAMERICA, LLC",N8080,23785 W MICHIGAN AVENUE - SSA #8732,DEARBORN,48124,210-08,7/28/2008,General PTI
"SUNOCO, INC",P0207,2600 S TELEGRAPH ROAD,DEARBORN,48124,22-11,2/17/2011,General PTI
"GROUND EFFECTS, INC",P0344,15200 COMMERCE DR NORTH,DEARBORN,48120,59-12A,11/22/2017,
EDWARD C LEVY COMPANY,P0460,9400 EAGLE STREET - PLANT 2 PORTABLE,DEARBORN,48209,7-13A,8/20/2013,
XEROX BUSINESS SERVICES,P0487,5225 AUTO CLUB DRIVE,DEARBORN,48126,182-13,1/28/2014,
BRANDENBURG INDUSTRIAL SERVICE,P0873,17000 ROTUNDA DRIVE,DEARBORN,48121,156-17,10/20/2017,General PTI
DTE ELECTRIC COMPANY,P0879,1641 CAROL SHELBY WAY EAST,DEARBORN,48121,144-17,4/13/2018,
"GROUND EFFECTS, INC",P1224,13750 ROTUNDA DRIVE,DEARBORN,48120,105-21,12/7/2021,
WAYNE COUNTY DEPARTMENT OF,M4826,21100 FORD ROAD,DEARBORN HEIGHTS,48127,303-99,6/9/2000,
QUAKER HOUGHTON,A7513,9100 FREELAND STREET,DETROIT,48228,53-20,4/29/2020,General PTI
DELRAY CONNECTING RAILROAD,A7809,7109 W JEFFERSON AVENUE,DETROIT,48209,304-99,11/30/2000,Rolled into ROP
"DYNAMIC RESOURCES COMPANY, LLC",A7809,1400 ZUG ISLAND ROAD,DETROIT,48209,123-12A,3/26/2013,
"M & W INDUSTRIES, INC",A8005,13595 HELEN STREET,DETROIT,48212,102-05,4/21/2005,General PTI
"ARTED CHROME PLATING, INC",A8087,38 PIQUETTE STREET,DETROIT,48202,74-02A,3/31/2010,
DETROIT DIESEL CORPORATION,A8638,13400 W OUTER DRIVE,DETROIT,48239,102-00,4/16/2003,Rolled into ROP
DETROIT DIESEL CORPORATION,A8638,13400 W OUTER DRIVE,DETROIT,48239,125-05,5/18/2005,Rolled into ROP
DETROIT DIESEL CORPORATION,A8638,13400 W OUTER DRIVE,DETROIT,48239,208-05,8/18/2005,Rolled into ROP
DETROIT DIESEL CORPORATION,A8638,13400 W OUTER DRIVE,DETROIT,48239,165-06,6/9/2006,Rolled into ROP
"DCI AEROTECH, INC",A8831,7515 LYNDON AVENUE,DETROIT,48238,183-02,5/29/2003,
"DCI AEROTECH, INC",A8831,7515 LYNDON AVENUE,DETROIT,48238,40-20,7/9/2020,
AMERITI MANUFACTURING COMPANY,A8892,19300 FILER STREET,DETROIT,48234,549-97C,12/18/2020,
"DETROIT REFINING LOGISTICS, LLC",A9831,1300 S FORT STREET,DETROIT,48217,122-15,5/26/2016,
MARATHON ASHLAND PETROLEUM,A9831,12700 TORONTO STREET,DETROIT,48217,180-97,4/18/1997,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,120-99,8/3/1999,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,61-99,10/5/1999,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,90-98,2/22/2000,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,195-00,8/17/2000,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,108-02,9/3/2002,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,232-02,12/10/2002,Rolled into ROP
MARATHON ASHLAND PETROLEUM,A9831,1300 S FORT STREET,DETROIT,48217,244-00A,9/30/2003,Rolled into ROP
MARATHON OIL COMPANY,A9831,1300 S FORT STREET,DETROIT,48217,5-98,6/2/1998,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,96-11,1/11/2012,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,81-12,9/7/2012,
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,142-11A,9/13/2012,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,148-11A,9/13/2012,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,301 S FORT STREET,DETROIT,48217,197-10B,9/13/2012,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,63-04C,11/9/2012,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,18-12B,7/24/2013,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,54-13,8/29/2013,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,157-13,1/30/2014,
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,63-08D,5/12/2014,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,52-15,4/13/2015,
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,118-15,5/26/2016,
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,63-08E,6/10/2016,Rolled into ROP
MARATHON PETROLEUM COMPANY LP,A9831,1300 S FORT STREET,DETROIT,48217,57-20,6/12/2020,
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,244-00,11/6/2000,
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,190-00A,12/7/2001,
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,236-02,3/26/2003,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,184-03,8/27/2003,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,262-02,2/25/2004,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,67-02A,6/15/2004,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,28-02A,1/5/2006,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,198-06,8/17/2006,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,175-06,10/12/2006,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,63-04A,11/8/2007,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,245-07B,9/2/2008,Rolled into ROP
"MARATHON PETROLEUM COMPANY, LLC",A9831,1300 S FORT STREET,DETROIT,48217,136-09,7/7/2009,Rolled into ROP
GREAT LAKES WATER AUTHORITY,B2103,9300 W JEFFERSON AVENUE,DETROIT,48226,252-06,12/21/2006,Rolled into ROP
"AMERICAN AXLE & MANUFACTURING, INC",B2150,1840 HOLBROOK STREET,DETROIT,48212,371-08,12/23/2008,
ARCO ALLOYS CORPORATION,B2159,1891 TROMBLY STREET,DETROIT,48211,49-12,6/13/2012,
THYSSENKRUPP BUDD,B2162,12141 CHARLEVOIX STREET,DETROIT,48215,325-05,11/22/2005,General PTI
"BUCKEYE TERMINALS, LLC",B2247,700 S DEACON STREET - DETROIT,DETROIT,48217,364-99,4/11/2000,
"BUCKEYE TERMINALS, LLC",B2247,700 S DEACON STREET - DETROIT,DETROIT,48217,149-15,9/25/2015,
"BUCKEYE TERMINALS, LLC",B2247,700 S DEACON STREET - DETROIT,DETROIT,48217,200-16,4/27/2017,
DETREX CORPORATION,B2273,12886 EATON AVENUE,DETROIT,48227,354-01,3/11/2002,
PVS TECHNOLOGIES,B2371,10825 HARPER AVENUE,DETROIT,48213,152-15,11/20/2015,
DETROIT EDISON COMPANY,B2798,6603 W JEFFERSON AVENUE,DETROIT,48217,373-98,12/18/1998,Rolled into ROP
DETROIT EDISON COMPANY,B2814,541 MADISON AVENUE - BEACON HEATING,DETROIT,48226,63-05,7/26/2005,Rolled into ROP
DETROIT EDISON COMPANY,B2814,541 MADISON AVENUE - BEACON HEATING,DETROIT,48226,62-21,8/31/2021,
"DETROIT THERMAL, LLC",B2814,541 MADISON AVENUE - BEACON HEATING,DETROIT,48226,63-05A,8/1/2007,Rolled into ROP
"SUNOCO MARKETING & TERMINALS, LP",B2926,500 S DIX STREET,DETROIT,48217,143-18A,7/9/2019,
"ALPHA RESINS, LLC",B2927,17350 RYAN ROAD,DETROIT,48212,157-10C,12/4/2014,
"DETROIT THERMAL, LLC",B3012,555 W BALTIMORE AVENUE,DETROIT,48226,361-97,9/23/1997,
FITZGERALD FINISHING COMPANY,B3037,17450 FILER AVENUE,DETROIT,48212,403-99D,10/2/2015,
"FITZGERALD FINISHING, LLC",B3037,17450 FILER AVENUE,DETROIT,48212,63-21,8/31/2021,General PTI
"CADILLAC ASPHALT, LLC",B3195,670 S DIX AVENUE,DETROIT,48217,57-01B,9/30/2008,
METROPOLITAN ALLOYS CORPORATION,B3259,17385 RYAN ROAD,DETROIT,48212,30-08C,8/19/2021,
GIBRALTAR NATIONAL CORP / QUIKRETE,B3291,8951 SCHAEFER HIGHWAY,DETROIT,48228,205-16,3/22/2017,
EDWARD C LEVY COMPANY,B3533,8800 DIX AVENUE - PLANT 1,DETROIT,48209,104-16,9/23/2016,
SAINT MARY'S CEMENT,B3567,9333 DEARBORN STREET,DETROIT,48209,76-18,8/31/2018,
"SAINT MARY'S CEMENT, INC",B3567,9333 DEARBORN STREET,DETROIT,48209,115-11,9/2/2011,General PTI
"SAINT MARY'S CEMENT, INC",B3567,9333 DEARBORN STREET,DETROIT,48209,262-99B,1/25/2012,
"SAINT MARY'S CEMENT, INC (US)",B3567,9333 DEARBORN STREET,DETROIT,48209,262-99A,1/30/2004,
"SAINT MARY'S CEMENT, INC (US)",B3567,9333 DEARBORN STREET,DETROIT,48209,14-04,4/16/2004,
EDWARD C LEVY COMPANY,B4243,13800 MELLON STREET - PLANT 6,DETROIT,48217,298-03,5/11/2004,Rolled into ROP
EDWARD C LEVY COMPANY,B4243,13800 MELLON STREET - PLANT 6,DETROIT,48217,248-06,9/19/2006,Rolled into ROP
EDWARD C LEVY COMPANY,B4243,13800 MELLON STREET - PLANT 6,DETROIT,48217,5-19,3/12/2019,
EDWARD C LEVY COMPANY,B4243,13800 MELLON STREET - PLANT 6,DETROIT,48217,45-20,5/29/2020,
RECYCLING & TREATMENT,B4354,530 ROUGE STREET SOUTH,DETROIT,48217,181-13,4/15/2014,
"MCCOIG MATERIALS, LLC",B4369,500 E 7 MILE ROAD,DETROIT,48203,246-10,3/17/2011,
"GREAT LAKES PETROLEUM TERMINAL, LLC",B4752,12500 STOCKER ROAD,DETROIT,48217,153-09B,4/14/2014,
PEERLESS METAL POWDERS &,B4847,124 S MILITARY STREET,DETROIT,48209,165-04,8/13/2004,
PEERLESS METAL POWDERS &,B4847,124 S MILITARY STREET,DETROIT,48209,353-07,1/3/2008,
PEERLESS METAL POWDERS &,B4847,124 S MILITARY STREET,DETROIT,48209,186-11,2/17/2012,
"AJAX METAL PROCESSING, INC",B5830,4651 BELLEVUE AVENUE,DETROIT,48207,14-05,1/25/2005,Rolled into ROP
"AJAX METAL PROCESSING, INC",B5830,4651 BELLEVUE AVENUE,DETROIT,48207,131-11,10/20/2011,Rolled into ROP
"AJAX METAL PROCESSING, INC",B5830,4651 BELLEVUE AVENUE,DETROIT,48207,47-16,6/21/2016,Rolled into ROP
"AJAX METAL PROCESSING, INC",B5830,4651 BELLEVUE AVENUE,DETROIT,48207,47-16A,3/30/2017,Rolled into ROP
DETROIT ELECTRO-COATINGS COMPANY,B6511,2703 23RD STREET,DETROIT,48216,81-06,3/21/2006,General PTI
SUPERIOR MATERIALS,B8763,8911 W JEFFERSON AVENUE,DETROIT,48209,138-18,10/18/2018,
SUPERIOR MATERIALS,H6483,20565 HOOVER ROAD,DETROIT,48205,137-18,10/17/2018,
SMELTZER ENTERPRISES,K0291,10600 GRATIOT AVENUE,DETROIT,48213,62-97,12/1/1997,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,307-99,1/4/2000,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,287-01,12/18/2001,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,220-02,9/17/2002,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,202-02,11/5/2002,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,186-06B,8/26/2008,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,179-14,12/23/2014,Rolled into ROP
HENRY FORD HOSPITAL,K1271,2799 W GRAND BLVD,DETROIT,48202,224-15,2/26/2016,Rolled into ROP
DMC SINAI GRACE HOSPITAL,K1276,6071 W OUTER DRIVE,DETROIT,48235,176-16,2/10/2017,
